,id,title,language_code,description,similar_books,ratings_count,num_pages,text_reviews_count,average_rating,Action,Adventure,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,War,Action_b,Adventure_b,Crime_b,Documentary_b,Drama_b,Family_b,Fantasy_b,History_b,Horror_b,Music_b,Mystery_b,Romance_b,War_b
22178,19188961,The Case of the Pilfered Painting,eng,"""Yes, yes,"" Henrietta said impatiently, fingering the pince-nez that hung from her neck on a black braided cord, ""but it's really just too intriguing. It has all the ingredients of a first-rate crime novel, if you ask me. Think of it: a young heiress alone and grief stricken after the mysterious death of her aunt; a painting, a treasured legacy, missing; the police baffled."" Then she said solemnly, ""You know, Joshua, it just struck me. What if there's a connection between Mrs. Harper's death and the disappearance of that painting? Do you suppose that's possible?"" she asked, her eyes wide, her mind focused on the one point of information that would not allow it to rest: Who did it?",[],0.0,20.0,1.0,0.0,1.0,0.07328534684986612,1.0,0.057924080254881306,0.0898912660480971,0.0587855987788013,0.08413708627987586,0.0650125965136153,1.0,0.053659061669179726,1.0,0.07362773335082855,0.04884709788896421,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22897,15831600,Sadistic Deception,eng,"Angel is a beautiful young girl destined to save the world from satanic domination by occult fraternity; but she unsuspectingly trusts Ben, the heir apparent of the global powerful secret cult. Ben's ascension to the cult's supreme throne depends on his successfully defiling Angel until she gets married to her heartthrob, making the struggle a do-or-die affair.
They unleash devastating discrete onslaught through their secret agents but somehow they fail to defile Angel. They spoil for unforgivable vengeance, with the sole purpose of desecrating Angel's dignity as a married woman, and as well exterminating her husband.
Angel's Guardian Angels feel challenged and engage agents of the cult in a fierce battle never before fought in the spiritual and physical world.",[],0.0,322.0,1.0,0.0,1.0,1.0,0.08288135430115973,0.0649684997918632,0.10293193858248384,0.08210399475537244,1.0,0.0800691210751493,0.09468696714993374,0.06028918734241144,0.10013857829815086,1.0,0.08476115812129491,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
32733,31124306,The Sweetest Downfall,eng,"Bleach
Gin/Renji, Gin/Kira, Renji/Kira
Renji's always wanted to be a hero, but this time, he may have bitten off more than he can chew.",[],0.0,96.0,1.0,0.0,1.0,1.0,0.02268818855398017,0.023089122954034137,0.02548087058090661,1.0,1.0,0.026706217356213473,0.01871315084100426,0.025356305358857974,0.0156514074109109,0.02657275961054355,0.01943294832353242,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35061,28447039,A State in Denial - Pakistan's Misguided and Dangerous Crusade,eng,"A State in Denial by veteran journalist B.G. Verghese explores a subject of immense global significance - Pakistan, and where it is positioned in relation to India and the world. After a brisk overview of the events that have come to define post-Independence Pakistan - the battle for Kashmir; the integration of Karat and Hyderabad into India; the creation of Bangladesh - Verghese, drawing from rare archival material, approaches subjects that have long been contentious - the Indus water treaty, Siachen and A.Q. Khan's dangerous nuclear forays. Even while analyzing Pakistan's present-day plunge into internal dissent, self-made jihadi extremism, provincial rivalry and military rule, Verghese offers a gentle way out of the nation's self-made dilemmas - by encouraging Pakistan to become more than the Indian 'other', and urging it to move away from fundamentalism and embrace the syncretic, Sufi-infused Islam it once knew. B.G. Verghese's last book is a powerful reminder that the core issue with Pakistan is not Kashmir - rather, it is the lack of a clear identity, the absence of a positive ideology, and the reluctance of the nation to fully accept its history.",[],0.0,240.0,1.0,0.0,1.0,1.0,0.03779518029764666,1.0,0.04865871605550664,0.042709478654084934,0.04949983073119989,1.0,0.037363403806914865,0.03949186660994717,0.037296101250801614,0.03933016629693544,0.053982458180439195,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37385,16075035,Man of Genius,eng,Novel first published in 1872 about the evils of drink,[],0.0,294.0,1.0,0.0,1.0,1.0,0.07228373458516399,0.05047255320818237,0.07874889361327206,0.05396490750446404,1.0,0.05722410257474999,1.0,0.04267661105836802,0.07586100416829934,0.07821742004414575,0.036974334048635656,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45476,28501875,I am Leather-Man,eng,"Jake is fed up with his wealthy parents' divorce, and having to leave his home and school when their house is sold.
They're so busy with their own lives they don't realise he's slipped out of the arrangements they've made for him, and is living - alone - in his mother's new house while she's down-country at uni. Maybe if he just stays on (and tells a few fibs), everyone will finally stop messing with his life.
But that's when his adventures and troubles really begin.
This story, set in today's Auckland, is funny, fast and full of surprises.",[],0.0,149.0,1.0,0.0,0.14874572221740312,0.15301644284988647,0.15034163716320786,0.15559633999158104,1.0,1.0,0.16598021075124225,0.15231690864755978,1.0,0.14268463729237796,0.1642272493644201,1.0,0.10118948725023838,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46596,35394583,"Family Treasury of Children's Stories Fun, Fables and Adventure",eng,"Includes short stories, poetry, excerpted fables and folk tales such as Doctor Dolittle, Aesop, Sleeping Beauty",[],0.0,384.0,1.0,0.0,0.06261255711646092,0.08546512703980796,0.06831776869599103,0.10000655121049572,1.0,1.0,1.0,1.0,0.0710263299044193,0.08158811798903276,0.07078550205492246,0.09005146667059943,0.07145778778631512,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
47591,26485015,Who's Who of Pro Basketball: A Guide to the Game's Greatest Players,eng,"Who's the greatest shooter in the game? Who's the finest passer? Who slams home the best dunks, plays the best defense, steals the hearts of fans? By way of super stats, fascinating facts, and vibrant Sports Illustrated photos, discover basketball's best of the best, from Kevin Durant and Blake Griffin all the way back to Michael Jordan and Wilt Chamberlain.",[],0.0,32.0,1.0,0.0,1.0,1.0,0.05082684836873671,0.06100806919281725,0.06151839279658557,1.0,0.05363907727650117,0.04595970053724505,0.050611432304321025,0.05762616555873741,0.048414824203328835,1.0,0.035856771780916945,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48401,3436863,Dogs of Ireland,eng,History and characteristics of the nine native dog breeds of Ireland.,[],0.0,189.0,1.0,0.0,0.016049109907013366,1.0,0.01414279534360701,1.0,0.0198988524622166,1.0,0.01997103941532414,1.0,0.019777285052224664,0.013955682941164874,0.014578134216841503,0.014157808307653163,0.015743895557827004,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52170,30049357,Five Hundred Words For Snow,eng,"Five Hundred Words For Snowis a collection of both prize-winning and unpublished short stories by the author Ceri A. Lowe, charting the journey through childhood to becoming an adult. It is about the half-truths and lies we tell ourselves and each other every day. Set in an eclectic range of locations from Neath through New Orleans and beyond, each story focuses on a different element of the emotions we experience through childhood and the profound impact tiny events can have upon us as adults.
With influences from Poland, Lithuania and the USA amongst others, each story illustrates how our own journeys can be unravelled in a lightening flash - through one white lie or a misunderstanding and change the course of a lifetime, for ever.
Covering themes that span abandonment, childhood death, guilt, love, 911, ASD, betrayal and the intrinsic nature of human hope, each story is carefully crafted to question the fabric of how we live and how we view and judge those around us.","['29964269', '27986676', '17227710', '18629730', '29011829', '29930577', '30170502', '28594736', '17728989', '28634757', '28869025', '29619326', '34100995', '29939689']",0.0,128.0,1.0,0.0,0.12030772663611215,0.12711219398725856,0.11291053787325296,1.0,1.0,0.13604787098745583,0.14497591293772696,1.0,0.11570671120895001,0.13035798410457686,0.1175504688546251,1.0,0.11083412721654497,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52612,4275484,The River Tay and Its People,eng,"From its source as a burn in the mountains of Argyllshire to its mighty estuary on the North Sea, the River Tay wends its way through some of Scotland's finest scenery. By the time it reaches the coast, 117 miles after leaving Loch Tay, it has become Britain's greatest river, discharging a larger volume of water than the Thames and Severn basins combined. This book looks at the river through the eyes of those who live and work along its banks. As it flows through Highland Perthshire and cuts through fertile straths and valleys on its way, a memorable picture of Scotland in microcosm emerges. The lifestyle of the fishing ghillies and salmon netters is a far cry from that of the welders in Dundee's oil-rig fabrication yards, so following the river's course offers a unique and fascinating view of a much-loved countryside.",[],0.0,224.0,1.0,0.0,0.05639668479057892,1.0,0.04872362782390029,1.0,0.055878600131868704,1.0,0.056139788144998946,1.0,0.0484065126151741,0.04981504746205636,0.04502622222415933,0.05031424123315597,0.04136592446783012,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55144,33638277,The Three Brothers,eng,Two of three brothers granted wishes by an old woman they had befriended do not deserve their good fortune a year later - but one brother continues to share what he has. Based on a Serbian folktale.,[],0.0,32.0,1.0,0.0,1.0,0.16417576396931263,1.0,0.11487009404135883,1.0,0.16404343831985502,0.15732747373960906,0.1362277946650382,0.15350606982812834,0.11121619035505384,0.14997297460604353,1.0,0.0988210721453548,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59277,17697218,The Easter Bunny,eng,"Jeff has always found comfort in the sense of community he gets from his church. He grew up with these people, and they know everything about him... except that he's gay. When a cute, new boy shows up as a volunteer Easter Bunny, Jeff decides to finally make a move, but the choices he makes on this Easter Sunday could completely change the life he's always known.",[],0.0,13.0,1.0,0.0,0.08232031956536341,0.08203999131439435,0.08160067637906278,1.0,1.0,1.0,0.09043206949099292,0.07839445520527753,0.08005287714301328,0.09106965290094357,0.08105711467481767,1.0,0.049932081552019336,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61592,34098530,Bumpkin,eng,"The terror begins. Three friends break the barrier. A sinister evil returns to Cripple Creek Holler. Once started, can it be stopped? creepy, funny, and terrifying masterpiece by Lani Brown.",[],0.0,309.0,1.0,0.0,0.06927300023165976,1.0,0.0560272838084902,0.02801882469041918,0.06196905803956743,1.0,1.0,0.039399391587974605,1.0,0.042892520317799915,0.06049115586212983,0.06301650021794096,0.03009663912563809,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
62844,17283641,In the Jaws of the Beast,eng,"An engaging story of a troubled Confederate veteran overcoming his deep-seated hatreds and the prejudices of the times while dealing with the tragic death of his wife and the kidnapping of his son by the Apache in 1867 New Mexico Territory. His life is changed forever when he teams up with a colored Yankee soldier at Fort Cummings to find Cochise and his Chiricahua band, and retrieve his son. The friendship between these two radically different men, at a time in history when our nation was struggling to come together, will captivate you in In the Jaws of the Beast.",[],0.0,188.0,1.0,0.0,1.0,0.15060154754874308,0.14164801327177837,0.1341039881481307,1.0,0.14164756229810307,0.13948806849302106,1.0,0.1243536026498031,0.13220499674287126,0.1259220674598639,1.0,0.12713623829822404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
64278,24485177,"From Farriery to Veterinary Medicine, 1785-1795",eng,"In From Farriery to Veterinary Medicinean effort has been made to trace the founding of the veterinary profession in this country from the first tentative moves made by the Odiham Agricultural Society in 1785 to the day when the first graduates were granted their diploma of proficiency from the London Veterinary College.
In the latter half of the eighteenth century the suffering of sick animals in this country resulting from the gross ignorance of the farriers and other quacks in whose care they were put was causing grave concern. But although many persons pondered on this state of affairs and realized that it arose mainly from a lack of scientific education in animal medicine, little attempt was made to remedy the evil until it attracted the attention of a small agricultural society in the village of Odiham in Hampshire. It is with the activities of these men that this story is largely concerned. They were not daunted by any difficulty. Their enterprise prospered and in 1791 their efforts culminated in the founding of the first Veterinary School in Great Britain.
The transition from the crudities and cruelties of 'farriery witchcraft' to the first years of veterinary education was accomplished in about a decade, a remarkable achievement in view of the prejudices and problems involved; it took, however, another fifty years before the veterinary profession was officially recognized by Royal Charter in 1844.",[],0.0,178.0,1.0,0.0,0.06116275519175869,0.06719842993507687,0.05680283790839475,1.0,1.0,1.0,0.06890441085204341,1.0,0.06417302995276514,0.05975266418099126,0.05920480715850107,0.07445778728078487,0.053653891246905186,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65793,22310607,The Common Sense  Book of Change,eng,"The Common Sense Book of Change is an easy-to-read version of the Chinese I Ching, complete with clear user instructions. Use it first to increase self-understanding, then to create harmony between the inner world of self and outer world of others. The text maps the natural patterns of change which trigger predictable passages from one stage to another in our lives. Its simple observations are a treasure of enduring practical wisdom. Its purpose is to maintain poise and stability in the midst of change. Using the interactive Book of Change is a powerful way to get in touch with the native common sense we're all born with, but too often forget under the pressures of hectic daily life. The I Ching codifies the dynamics of natural law, sometimes called the Law of Karma. As such, it is the functional foundation of practical ethics. Careful thinkers everywhere consult it as the basis for a realistic philosophy of life. Psychologists and therapists turn to it for its profound insights into the dynamics of the human psyche and personal relationships. Leaders and strategists study it to understand themselves, their followers and opponents, and then make effective decisions. Based on the timeless Positive Paradigm of Change rediscovered by Einstein in the 20th century, it gives new meaning to the natural law Tom Paine invoked in his appeal to Common Sense. As that pamphlet was catalyst to change in an earlier century, this small but powerful book has the potential to remind people worldwide of their common good NOW.",[],0.0,178.0,1.0,0.0,0.12315099274885348,0.12914161562599472,0.10839346349399862,1.0,1.0,0.1242330660807303,1.0,0.1241450401204799,0.09957199732311058,0.09950902024999081,0.09969516797296972,1.0,0.08849050031069527,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
67487,36423085,Blow Out the Candles: And Say Goodbye,eng,"Starting over in a new town, Brandy Barrett hopes to help her father heal from a double tragedy in their shared past. Her sister, Torey disappeared mysteriously--then Brandy lost her tortured mother, too.
When a devious and heartless couple moves into town, living in the Upper Peninsula of Michigan turns out to be anything but peaceful. The pair have plans for the little girls in Iron Cove. Plans that include cakes, balloons, and birthday gifts--and a type of terror daddy's little girls never imagined.
How does a houseful of five-year-old girls suddenly disappear? Can anyone hear their cries after they blow out the candles and say goodbye? Will Brandy uncover the truth before the missing girls become lost in a world of human sex trafficking?",[],0.0,352.0,1.0,0.0,0.12478386387372786,0.13116511694081287,0.11407618022915618,0.08424719249353085,1.0,1.0,0.1471923578869707,0.08218980566081248,1.0,0.10956121959320755,0.13231129562411295,1.0,0.0698117534604683,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
69363,35394853,"Delve Deep (Cycle of Ages Saga, #3)",eng,"The Master-of-Disaster and Finders Keepers return in the epic third installment of the Cycle of Ages Saga.
Kaladimus Dor finally makes contact with his master across the Veil, only to be tasked with a new mission, to reach the mysterious Spire. There he will be able to aid Braigen in returning hope to Faltyr.
Meanwhile, plots and intrigues abound in Grysmburg, targeting Lady Shy'elle and her infant son in distant Fraustmauth. So the queen-in-exile and Finders Keepers depart on a roundabout voyage to fulfill Dor's mission and take the fight to the heart of the enemy.
What dangers lie in wait for them when they seek their ship-of-legend's enchanted Anchor? Who will pay the ultimate price to salvage it, so they can access a shortcut through the Underworld? And what will the survivors find lurking between them and their subterranean port of call, the Free Dwarf city known as Delve Deep?",[],0.0,503.0,1.0,0.0,1.0,1.0,0.05923154100677872,0.04863278653684987,0.06896113327840624,1.0,1.0,0.07264681536506541,0.06963393230175458,0.04337668040350835,0.06365327127122544,0.059845937941367125,0.05874093663207085,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77051,23298174,Prophesy Murder,eng,"Divination has its price.
A New York detective discovers the dead body of her old Army mentor, and the corpse is covered in divination predictions. The longer she works the case, the more otherworldly her suspects become.
IPPY-award winning author Janine A. Southard mixes it up with this short police procedural. ""Prophesy Murder"" blends genres with the inclusion of fantasy and science fiction elements that get in the way of a hard-boiled detective.",[],0.0,20.0,1.0,0.0,1.0,0.0785652854069371,1.0,0.058020718350104965,0.09384683832738595,0.0744477693042683,0.07971448859754854,0.056285810952300626,1.0,0.058615567391767966,1.0,0.07484973860198602,0.0461691760127679,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
79093,30168836,The Secret Arrangement,eng,"Imagine a young and beautiful Woman with the opportunity to date an older man, not an ordinary one, but a billionaire that can fulfill all her financial dreams.
Where do you think she can go?
The secret arrangement is a story about wealth and riches, how she gets to know her billionaire - and what did she do to get him, in return she receives lots of money, lots of gifts, get to travel in his private jet and have the most extraordinary experiences that money can buy all around the world - But the billionaire has a hidden agenda - What will she do, when she finds out about it?
Get to know everything inside this new and intriguing mystery book right now!",[],0.0,47.0,1.0,0.0,0.18681899085820952,0.18129820283952502,0.18407025525219156,0.14087503402196047,1.0,0.1792360194711735,1.0,0.1493301157741471,0.16751833029378918,0.14296733132094316,1.0,1.0,0.1201146539928269,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
85122,18659704,Public Religions in Swedish Media: A Study of Religious Actors on Three Newspaper Debate Pages 2001-2011,eng,"Forskningen ror religionens plats i offentligheten i Sverige och mediernas okade betydelse for saval samhallsdebatten som andra samhallssektorer. Avhandling handlar om religiosa aktorers deltagande i svensk samhallsdebatt med fokus pa debattsidorna i nagra svenska dagstidningar. Pa ett mer overgripande plan intresserar Axner sig for religion och politik, religios forandring i det senmoderna samhallet och interaktionen mellan religion, kultur och medier.",[],0.0,246.0,1.0,0.0,0.013544420201512931,0.013420700901097113,0.014694012390606092,1.0,1.0,1.0,0.01261643037044191,1.0,0.011318939700568569,0.010522952689270861,0.012391142304438692,0.014354901038218354,0.00918139323925362,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85142,22439400,"Kindle Publishing, Yes, You Can!",eng,"Publishing your ebook on Kindle doesn't guarantee your book will look the way you intended it to. Even using the Kindle generation tools can result in an ebook that isn't laid out the way you created it. In Kindle Publishing, Yes You Can, Ginger Marks, publisher and designer, explains in easy terms exactly what you need to do and how to create an ebook on Kindle that you will be proud to call your own.",[],0.0,30.0,1.0,0.0,0.033001686233541924,1.0,0.027801052568235535,1.0,0.03368053863875771,1.0,1.0,0.028492725046890415,0.031554804395924424,0.029917732579687266,0.027772467217630766,0.031234772817086618,0.023092847777727184,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
