,id,title,language_code,description,similar_books,ratings_count,num_pages,text_reviews_count,average_rating,Action,Adventure,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Thriller,War,Action_b,Adventure_b,Crime_b,Documentary_b,Drama_b,Family_b,Fantasy_b,History_b,Horror_b,Music_b,Mystery_b,Romance_b,Thriller_b,War_b
28304,19330023,Marilyn Monroe Diagnosed: Psychological Diagnosis of Her Secret Life,eng,"Dr. Paul Dawson, in MARILYN MONROE DIAGNOSED: PSYCHOLOGICAL DIAGNOSIS of HER SECRET LIFE, presents an exciting analysis of the movie goddess - diagnosing her by an in-depth assessment of her secret life. Marilyn's family, early life, career, lovers, relationships, marriages and mental illness is examined. Her psychoses are revealed including: abandonment fears, unstable relationships & shaky self-image, impulsive & suicidal behavior, mood swings, paranoia & loss of contact with reality, feelings of emptiness, inappropriate anger and substance abuse. A ""must read"" for any fan of the world's most celebrated sex symbol. Dr. Dawson earned a Ph.D. in psychology from The New School for Social Research, Graduate Faculty, New York City. Dr. Dawson has been chief psychologist of a state prison system, clinical psychologist in mental hospitals, clinics and in private practice. Dr. Dawson has written over 30 books including: ANGELINA JOLIE PSYCHOANALYZED; BORDERLINE PERSONALITY DISORDER; BIPOLAR ZOO; BIPOLAR JUNGLE; BPD RECOVERY; CAMILLE LAURENT & ADVENTURES IN GUATEMALA; CAMILLE LAURENT & HADES; CAMILLE LAURENT & LUISON; CAMILLE LAURENT & PUNK ROCKERS; CAMILLE LAURENT & XIBALBA; CAMPUS KILLER'S SECRET OBSESSION; CHARACTER INTELLIGENCE (CI); FACES OF TED BUNDY; GRACE KELLY IN PSYCHOTHERAPY; GRACE KELLY SESSIONS; HOW TO GET SOBER; JACKIE IN THERAPY; JACKIE O SESSIONS; JACKIE ONASSIS IN THERAPY; JACKIE ONASSIS PSYCHOANALYZED; JODI ARIAS; JOHNNY DEPP DIAGNOSED; MANSON INTERVIEWS RAW; MARILYN MONROE DIAGNOSED; MASKS OF A LADY KILLER; MASKS of PREDATORS; MASKS of SEX PREDATORS; MY PRINCESS DIANA THERAPY SESSIONS; MY TED BUNDY INTERVIEWS RAW!; NARCOTERRORIST PSYCHOPATHS; PRINCESS DIANA DIAGNOSED; PSYCHOLOGY OF HIDDEN INFLUENCE; PSYCHOLOGY of MEN WHO ABUSE WOMEN; PSYCHOPATHS; ROCK STARS DIAGNOSED; SEX CRIMES; SEX, LOVE & SMART DATING; SPIES & ASSASSINS; SPIRITUAL THERAPY; TERRORIST IMPERATIVE; THE MASKS OF KARLA HOMOLKA.",[],1.0,512.0,1.0,1.0,0.0955211456775123,0.09569590221587725,0.09249380253022474,1.0,1.0,0.09516309945171768,0.09561254445415819,0.07993123588116954,0.09383844510826633,0.0904320142113782,0.09724039150327969,1.0,1.0,0.053672096842738326,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29851,30051946,Joscelina,eng,"As a young orphan, Joscelina is left to the care of her late father's military friends, a couple with a young daughter of their own. However, while the father is kind to her, his wife is not, and Joscelina learns she cannot really trust either. Left mostly to her own devices, she attempts to help those less fortunate--particularly a young woman named Mortimore--but quickly finds herself embroiled in confusion and under suspicions by her guardians and her would-be suitor, Mr. Errington. Eventually cast adrift from upper-class London society, Joscelina must prove her innocence and help those depending on her.",[],1.0,413.0,1.0,1.0,0.1584289597331025,0.16746182511495777,0.16784346935632605,0.06817086483424892,1.0,0.17972757345928192,0.17978047007901957,0.13000651438932426,0.18748059089869534,0.11892228732106168,1.0,1.0,1.0,0.11362981617260418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
34761,13633587,The Adventures Of Sniffy Doo Da: The Giant Lizard,eng,After the initial meeting and becoming life long friends Sniffy Doo Da and Loopy Doo Da set off into the forest near town and run into a Giant Lizard. Sniffy Doo Da and Loopy Doo Da are enjoying the fun in the forest until they hear a strange noise. Naturally all three are scared and the story goes forward t to them parting as friends.,[],1.0,16.0,1.0,1.0,0.10331353063267532,1.0,0.0870534666369789,0.08662857615621831,0.11096313456705344,1.0,1.0,0.08873315892875705,1.0,0.07682224436084349,0.10466737268903524,0.09837768978014132,0.1032222019032841,0.0691255978636354,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39157,20648401,"Spanish Agent, An Erotic Spy Thriller",eng,Erotic Spy Thriller,[],1.0,300.0,1.0,1.0,1.0,1.0,0.03561673547907773,0.006828257929345095,0.02017680277189792,0.008353643723236779,0.011476157817676282,0.024172475050435415,0.017369112284549293,0.006855137894474554,1.0,0.011980317785220516,1.0,0.0238242004142922,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40148,25891416,Betty Lee in Paris,eng,"Children's book about a12 year old girl, Betty Lee, who lives in the post civil war southern United States.",[],1.0,313.0,1.0,1.0,0.10563956440327961,0.11420878329360187,0.0827187142355836,0.09367219524797313,1.0,1.0,0.11830373540259312,1.0,0.08548998050340222,0.08329443080485634,0.08859245380715236,0.11516956352121789,0.09692717092742138,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42381,27836912,An Unexpected Visit,eng,A man's depressing life takes a turn when he's visited be a pair of tiny talking horses.,[],1.0,4.0,1.0,1.0,0.11895116154529888,0.11009713315509335,1.0,0.11131108732491554,1.0,0.09675103418739671,0.12202996963555594,0.10331335554737674,0.10014054911740003,0.08500967904109595,0.11090429271980337,1.0,1.0,0.05681108346773907,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42746,22469759,Wendy Gets Made Up (Wendy's Crazy Sex Weekend Book 2),en-US,"WENDY'S CRAZY SEX WEEKEND is the new extreme erotica series from erotica author Greta Trap. Wendy is tired of being pure and innocent, and she's especially irritated that she's been eighteen for four months and still not gone crazy. Finally, though, she gets the house all to herself for a three day weekend and invites to guys over...the sex that results is shocking, exciting, sexy, and always extreme!
In WENDY GETS MADE UP, Wendy painstakingly applies body paint for her sexy costume for Arthur and Greg, and her desperate sexual needs almost get the best of her time and time again!
Warning: WENDY'S CRAZY WEEKEND contains very explicit descriptions of very extreme rough sex and humiliation and includes scat, bizarre sex, first anal sex, first sex, double penetration, cumplay, public sex, and more. Listen, this one gets pretty damned extreme and if you think it's possible you're going to be offended you're probably going to. You'll probably be okay with books one and two but God help you when you get to book three. Only mature adults should read this ebook.",[],1.0,13.0,1.0,1.0,0.11688310513362822,0.11477828425205147,0.12091615191512355,0.10884425242303679,1.0,0.11567289258574459,0.1271118099857992,0.0939516109299717,1.0,0.10427753096774034,0.12144522204535163,1.0,1.0,0.06621368980954263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
45509,26308396,Romanian Studies in Philosophy of Science,eng,"This book presents a collection of studies by Romanian philosophers, addressing foundational issues currently debated in contemporary philosophy of science. It offers a historical survey of the tradition of scientific philosophy in Romania. It examines some problems in the foundations of logic, mathematics, linguistics, the natural and social sciences. Among the more specific topics, it discusses scientific explanation, models, and mechanisms, as well as memory, artifacts, and rules of research. The book is useful to those interested in the philosophy of real science, but also to those interested in Romanian philosophy.",[],1.0,301.0,1.0,1.0,0.015015968330577233,0.017958366889931875,0.01326632152287202,1.0,0.01897832336776257,1.0,1.0,0.018416616266540068,0.019546837140687914,0.01326990179113044,1.0,0.01781149888952042,0.0180180522580752,0.011085772633843494,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45704,33861938,My Return,eng,"Just an erotic short story, written a couple of years ago and kept mostly private.
I have decided to publish on here to gauge reaction and hopefully constructive criticism to aid me in future projects.",[],1.0,12.0,1.0,1.0,0.10070974330090497,0.10114303308787342,0.0920596245760908,1.0,1.0,0.10109416700177573,0.10329378704549737,1.0,0.10292514541537344,0.08587978305656942,0.09840429056080063,1.0,0.09743371492890412,0.07462478567747012,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
45883,36419932,Ping,eng,"""Ping"" is a short story written by Samuel Beckett in French (originally ""Bing"") in 1966, and later translated into English by the author and published in 1967. David Lodge has described it as: ""the rendering of the consciousness of a person confined in a small, bare, white room, a person who is evidently under extreme duress, and probably at the last gasp of life.""",[],1.0,3.0,1.0,1.0,0.06639517730762959,0.06867703987259008,0.06985129670903498,1.0,1.0,0.06812721871277161,0.07491479130413213,1.0,0.059413550612269134,0.0703853169346197,0.06943260620914639,1.0,0.07279494142798475,0.062055077382455685,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50064,13583279,Pirates of Nirado River,eng,"The forests of Northwestern Ontario are home to the Pirates of Nirado River. Captain Corey and his crew like to spend their days fishing and hanging around their cabin. But one day something strange happens--Spencer Dann gets kidnapped. The pirates set out to find him. Along the way, other misadventures keep happening. Somebody tries to burn down their cabin and booby-trap their boat. Worst of all, Captain Corey and his boys get blamed for a bunch of things they didn't do. Or did they? Who is causing all the havoc? Join Captain Corey and the Pirates of Nirado River as they try to solve the mystery.",[],1.0,78.0,1.0,1.0,1.0,1.0,0.09348477460185206,0.07416664400451047,0.10343486414405384,1.0,0.10354427316511566,0.08636211717742176,0.11323516971746453,0.07641176645029238,0.10358396713879228,0.09281036695914824,1.0,0.08511235171004584,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52583,20819589,"Adventure In A Glorious Hole, Revisited",eng,"This tale has been told and read many times, written and now rewritten to receive a more positive view from the readers. I, as the author find it fitting at long last to rewrite it for those who have commented on the negative side of the original's worth. And so, I can only hope that those who have read the original will take the time to read this newer version in hopes to quell the negative thoughts the original left. Please feel free to leave comment and let me know, in honesty I have been watching the comments and struggling to find a better way of portraying the tale of such an adventure.",[],1.0,7.0,1.0,1.0,0.08470063070743475,1.0,0.059992426901259326,1.0,0.07419348210870673,1.0,1.0,0.07194287162373256,0.07682628357991185,0.08370908451442281,0.05622172081430667,0.07141004070586433,0.06797236959664703,0.05036143928934207,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52682,20371004,Licked by the Naughty Nurse,en-GB,"She thought she was headed to the doctor's office for a stress relieving massage, but Nurse Aster has other ideas. It starts out as it should, but before long, the slutty nurse moves her hands in all sorts of places she shouldn't. It's a powerful first lesbian experience at the doctor's office.
Warning: This ebook contains very explicit descriptions of sexual activity during a first lesbian sex doctor/patient sex encounter. It includes oral sex and lesbian sex. It is intended for mature readers who will not be offended by graphic depictions of sex acts between consenting adults.",[],1.0,7.0,1.0,1.0,0.04271067048332785,0.03843851009825678,0.048592823019471994,0.04721536574538978,1.0,0.03185646304137492,0.043973051237252155,0.04854409502543701,1.0,0.03822922482381979,0.05768583089120528,1.0,1.0,0.037810341312952835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
54334,18172956,That Collison Woman,eng,"A WOMAN FOR ALL SEASONS
When the only man Fleur Collison ever loved married her sister instead, the beautiful English girl went to America to find a new love for herself. But the pull of England and Guy Manderly proved to be too much for her. Then, too, she had a premonition that something terrible was happening at the magnificent old family mansion they called Ravensweir. So back to England she went, this lovely, headstrong girl that no one could dissuade from whatever course she chose to follow.",[],1.0,240.0,1.0,1.0,0.19186782636932304,0.19705546021592116,0.19283480883083634,0.1253787248523854,1.0,0.22339444070102263,1.0,0.16160277549347166,0.22406658531915857,0.1722937591245429,1.0,1.0,0.23069596310938642,0.11592334718013889,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56502,25504734,Emergency Nurse,eng,"Lorri Patton was a dedicated nurse. She had to be, to handle the tragic cases that came into the Emergency Ward--and the worse ones on her special duty at the Indianapolis Speedway track hospital.
But now her involvement was not purely professional. She was drawn to two attractive young men--racing driver Johnny Foster and Dr. Scott Camden. And both of them had attachments that she feared would preclude romance. Johnny had the racing passion that she hated and feared. And the cynical Dr. Scott had a mysterious blonde.",[],2.0,127.0,2.0,1.0,0.08347387417516708,0.0776816610091225,0.07877295335762481,0.04027814247046146,1.0,0.061469001266435966,0.07386510756306518,0.05816145331307484,1.0,0.05505712601665047,1.0,0.08799259576509619,1.0,0.06267748931428323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
56895,18656793,Back To Bliss: A Journey To Zero,eng,"AVAILABLE FREE: For Whole Of April 2014
Battling against hypocrisies, sadomasochism and perfunctory pursuits of pop benchmarks of successes, he refuses the passion-oriented male worldview of karma and life's purposes. Metamorphosed by compassion, that love's innocence fills him with, he opts for a journey that takes him far away from the stupidity of self-worth, calculated in terms of personal utility, individualistic possession and unfettered consumption. Does he arrive?
Mayank Mishra, a 34-year old news-editor with a newspaper in an Indian city, takes up the challenges in his personal as well as professional lives; caught between the conflicting agendas of passion and compassion. His passion calls him to battle the hypocrisies, which the popular benchmarks of the societal notions fill up his professional as well as personal universe with. Then, the innocence of love and total intimacy exposes him to compassion, leading him to diametrically opposite life energies, marked by forgiveness. He realizes; he standing beyond the best of the potentials and capabilities of his 'acultured' and uninhibited mind is his own God but he needs an unlearning mechanism to delete the wrong programming of his mind.
In the contemporary worldview, which paints the hypocrisy of art and lies about idealisms; he templates sketches of heroic moments of personal crises to break free from the suffocation of the optionlessness of pop success, with humble reception of the sanity of simplicity and innocence.
How he manages his personal and societal conflicts, rises above his encumbrances and finally picks up a road less traversed for a journey, which makes him feel he has already arrived, sums up the novel.",[],1.0,191.0,1.0,1.0,0.07668454311690293,0.08612519610150728,0.07111868145463751,1.0,1.0,0.08744626890275566,1.0,0.08258054972554613,0.05862806554420426,0.0866226509686252,0.06529403225396237,1.0,0.07677957187892519,0.05493300971358425,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77303,14759866,The Theory of Evolution,eng,"Part I
As Applied to Man
Part II
As Applied to Nature
from a Lawyer's point of view.
Copyright 1929, 1930, 1931",[],1.0,374.0,1.0,1.0,1.0,0.05662128985493173,0.06197952063755295,0.05786118379249161,1.0,0.03045546140236531,0.05599981097985638,1.0,0.052109955664566464,0.04142989054563165,0.05916291490953176,0.056779704655920374,1.0,0.05841391981137273,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
78035,15985744,Ten Houses Filled With Leaves,eng,"Part of a child's maturation is forming a personal identity and, after deciding what ""kind"" of person they want to be, coming to grips with reality both from within and without as they make their way in the world.
Meet Maisi Waverly, a young Black girl who is lighter skinned than most of her counterparts as well as exotically attractive, garnering the attention of both adults and her peers, although sometimes this attention is unwarrantedly negative.
Nevertheless, Maisi seems to form friendships with the most unlikely of people, primarily because she is quite secure with herself and her identity. She refuses to be a party to society's forms of suppression and flaunts her independent and free spirit as she sticks to her morals and takes care of business.
""From the mouths of babes..."" or, in this case, from the lives of babes we can learn so much about being ourselves and becoming comfortable in the skin in which we were born, as shown by Tina Marie Lockhart through the life of Maisi in Ten Houses Filled with Leaves.",[],1.0,60.0,1.0,1.0,0.09701064553582409,0.1042176860907218,0.096391699741392,0.11010585105366087,1.0,0.1064368477284062,1.0,0.09453759153551783,0.10958348929507689,0.08721810777360871,1.0,0.11557937067972439,1.0,0.07588833970352796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
80418,24172865,Bill Coffin's Septimus,eng,"As one galactic empire dies, billion of people from thousands of worlds flood to their last great hope -- Septimus.
Bill Coffin's Septimus sets the players inside a Dyson Sphere made from an unknown and unknowable alien technology. Faction pitted against faction to control the sphere and the amazing technology therein -- a technology so great that no weakness cannot be eliminated and even death is not final. But, even as the obsessed techno-cult, the Sindivar Extant seeks to build a Utopia around Septimus' many nanofoundries, a dark secret spreads. The same technology that is a boon to so many billions of people contains a flaw, a flaw that may have spelled doom to the great originators, a flaw that threatens to crush Septimus and its inhabitants, even before the greatest of secrets yet remains undiscovered
Whether you fight alongside the Extant and the Cadre, or whether you join one of the many factions seeking to wrestle power and wealth from the Cult, you are sure to find a game that is right for you. This 360+ page RPG comes packed with everything you need for many hundreds of hours of gaming. This books needs no additional material to play. It comes with the OpenD6 core rules, huge amounts of setting information, complete with area maps, plus the most exhaustive character generation and character option information ever in a single D6 System book.
Inspired by, and meant to capture all the fun of the Classic Star Wars roleplaying game by West End Games, this free-wheeling Space Opera also takes you science fiction fun to the next level. More mature and multi-tiered that Star Wars D6, Septimus includes elements of Cyberpunk, Transhumanism, Light Mecha, all the way to fantasy elements. Septimus' vast territory only about 1 or 2% of which has been mapped, means an almost unlimited field to play in.",[],1.0,366.0,1.0,1.0,1.0,1.0,0.08767511875451281,1.0,0.09440763752654377,0.0979553005065231,1.0,0.09654555906509332,0.10998166871995242,0.08720368692677512,0.0970687903455335,0.08296950988863283,0.10985677923773972,0.07260790332979306,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85380,32723377,I Peeped For Kicks,eng,An amazing young woman's life of bizarre lusts which she gratified by peeping depravities.,[],1.0,160.0,1.0,1.0,0.11624129063244502,0.12313296778883549,0.13504502434166574,0.1024691752301809,1.0,0.11699297465903254,0.15876260980505674,0.12111122067911811,0.14539532720804452,0.10083612392926548,1.0,1.0,1.0,0.08352774421885172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
86122,13518407,He Answered,eng,"Ripped from the pages of love, loss, struggle & faith.
Lia finally had it all figured out. That was until that one traumatic day. A day that would change everything. Nothing would ever be the same again. No normal, rational thinking person would do that, would they? Could they?",[],3.0,72.0,3.0,1.0,0.10426154933559884,0.09846000110756842,0.09533757526207676,0.08682493030516604,1.0,0.1046748537454668,1.0,0.09541949990096746,0.09407634766757378,0.09805026827682775,0.09650428445388676,1.0,1.0,0.07760692801441894,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
